,제목,저자,출판사,출판일,정가
257,이토록 공부가 재미있어지는 순간,박성혁 저,다산북스,2020년 07월,15000.0
258,챗GPT와 글쓰기,김철수 저,위키북스,2023년 02월,18000.0
259,부자의 그릇,이즈미 마사토 저/김윤수 역,다산북스,2020년 12월,15000.0
260,아이에게 주는 감정 유산 ,이남옥 저,라이프앤페이지,2023년 02월,17000.0
261,메타버스에선 무슨 일이 일어날까?,이동은 저,이지북,2022년 03월,13000.0
262,슬램덩크 그로부터 10일 후 (SLAM DUNK 10 DAYS AFTER),이노우에 타케히코 글그림,대원,2007년 11월,15000.0
263,2023 해커스경찰 갓대환 형사법 기본서 1권 형법,김대환 저,해커스경찰,2023년 01월,41000.0
264,하루 한장 초등 영어 파닉스+발음기호,이문필 저,키즈프렌즈,2022년 01월,14000.0
265,흔한남매 과학 탐험대 6 물리 2,"흔한남매 원저/권태균,이현진 글/김덕영 그림/최진수,권경아,김희목,정현철 기획",주니어김영사,2022년 11월,14000.0
266,데일리 필로소피,"라이언 홀리데이,스티븐 핸슬먼 저/장원철 역",다산초당,2021년 12월,18000.0
267,우리는 언제나 다시 만나,윤여림 글/안녕달 그림,위즈덤하우스,2017년 07월,12000.0
268,내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션) ,칼 필레머 저/박여진 역,토네이도,2022년 08월,17000.0
269,잊혀진 계절 1,김도형 저,에이에스,2022년 01월,18000.0
270,도쿄 리벤저스 30 ,와쿠이 켄 글그림,학산문화사,2023년 03월,6000.0
271,기억 전달자,로이스 라우리 저,비룡소,2007년 05월,12000.0
272,해커스 토익 실전 1000제 1 LC Listening 문제집 (리스닝),해커스 어학연구소 저,해커스어학연구소,2023년 01월,11900.0
273,멋진 신세계,올더스 헉슬리 저/안정효 역,소담출판사,2015년 06월,13800.0
274,알사탕,백희나 글그림,책읽는곰,2017년 03월,12000.0
275,감람 일러스트집 ROMANCE (로맨스),감람 저,테라코타,2023년 03월,33000.0
276,틀려도 괜찮아,마키타 신지 글/하세가와 토모코 그림/유문조 역,토토북,2006년 02월,12000.0
277,2023 전한길 한국사 실전형 봉투 모의고사,전한길 편저,전한길한국사,2023년 03월,12000.0
278,2023 해커스 현대자동차 생산인력·생산직 필기시험 한권완성,해커스 취업교육연구소 저,챔프스터디,2023년 02월,21000.0
279,2023 에듀윌 공인중개사 오시훈 키워드 암기장 부동산공법,오시훈 저,에듀윌,2023년 01월,15000.0
280,10배의 법칙,그랜트 카돈 저/최은아 역,부키,2022년 03월,16800.0
281,"어머니, 사교육을 줄이셔야 합니다",정승익 저,메이트북스,2023년 01월,17000.0
282,사계절 코바늘 플라워,박경조 저,한스미디어,2023년 02월,22000.0
283,2023 갓대환 형사법 기출총정리 & 최신기출문제 ,김대환 편저,멘토링,2023년 02월,84000.0
284,경제파국으로 치닫는 금융위기,최용식 저,새빛,2023년 01월,18000.0
285,모순,양귀자 저,쓰다,2013년 04월,13000.0
286,대화의 밀도,류재언 저,라이프레코드,2023년 01월,18000.0
287,그대 늙어가는 것이 아니라 익어가는 것이다,오평선 저,포레스트북스,2022년 12월,15800.0
288,별의 커비 디스커버리 1,"다카세 미에 글/가리노 타우,포토 그림/현승희 역",해피북스투유,2023년 01월,13500.0
289,심판,베르나르 베르베르 저/전미연 역,열린책들,2020년 08월,14800.0
290,수학은 암기다,김현정 저,한국경제신문사(한경비피),2023년 02월,16800.0
291,Do it! 점프 투 파이썬,박응용 저,이지스퍼블리싱,2019년 06월,18800.0
292,어떻게 말해줘야 할까,오은영 저/차상미 그림,김영사,2020년 10월,17500.0
293,슈퍼 히어로의 똥 닦는 법,안영은 글/최미란 그림,책읽는곰,2018년 04월,12000.0
294,흔한남매 수수께끼 어드벤처 1,"흔한남매 원저/노지영 글/도니패밀리 그림/흔한컴퍼니,정재형 감수",미래엔아이세움,2022년 09월,14000.0
295,지구 끝의 온실,김초엽 저,자이언트북스,2021년 08월,15000.0
296,[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,고명환 저,라곰,2022년 09월,16800.0
297,오버로드 16 (일러스트 카드집 부속 특별판),마루야마 쿠가네 저/so-bin 그림/김완 역,영상출판미디어,2023년 03월,20000.0
298,페인트,이희영 저,창비,2019년 04월,13000.0
299,가짜 모범생,손현주 저,특별한서재,2021년 10월,12000.0
